time,seconds_elapsed,z,y,x
1687502524584963600,0.115963623046875,-1.1320323944091797,-0.006137847900390625,-0.9186027646064758
1687502524594855000,0.12585498046875,-1.1596596240997314,0.21270179748535156,-1.202361822128296
1687502524604784400,0.135784423828125,-1.2963643074035645,0.3921937942504883,-1.3725284337997437
1687502524614755300,0.14575537109375,-1.4830372333526611,0.516876220703125,-1.3958463668823242
1687502524624770000,0.15577001953125,-1.5524630546569824,0.4781827926635742,-1.1364887952804565
1687502524634827800,0.165827880859375,-1.4840199947357178,0.3493633270263672,-0.7294952869415283
1687502524644927000,0.175927001953125,-1.1620686054229736,0.36539268493652344,-0.7064260840415955
1687502524655064000,0.18606396484375,-0.8295049667358398,0.3971891403198242,-0.9107428193092346
1687502524665234200,0.196234130859375,-0.7825484275817871,0.30292510986328125,-1.2244793176651
1687502524675431700,0.206431640625,-0.6770679950714111,0.17406463623046875,-1.1751207113265991
1687502524685631700,0.2166318359375,-0.6953885555267334,0.30141162872314453,-0.9499536156654358
1687502524695831800,0.226831787109375,-0.6275839805603027,0.5521039962768555,-0.9206419587135315
1687502524706031900,0.237031982421875,-0.2773585319519043,0.7210102081298828,-1.0769305229187012
1687502524716231700,0.247231689453125,0.3193626403808594,0.44411468505859375,-1.1908282041549683
1687502524726357500,0.257357421875,0.8861920833587646,0.0301055908203125,-0.9224914312362671
1687502524736412200,0.267412109375,1.3556690216064453,-0.1020965576171875,-0.5658243298530579
1687502524746466800,0.277466796875,1.3185582160949707,-0.05295562744140625,-0.3919523358345032
1687502524756521200,0.287521240234375,0.8962256908416748,-0.13785076141357422,-0.3159981369972229
1687502524766575900,0.297575927734375,0.2558121681213379,-0.2385396957397461,-0.38721558451652527
1687502524776630500,0.307630615234375,-0.3054845333099365,-0.08789539337158203,-0.19004663825035095
1687502524786685200,0.317685302734375,-0.8511312007904053,-0.20584869384765625,-0.116303950548172
1687502524796739600,0.327739501953125,-1.1848962306976318,-0.38577938079833984,-0.023754417896270752
1687502524806794200,0.337794189453125,-1.159513235092163,-0.4386863708496094,-0.21485552191734314
1687502524816849000,0.347848876953125,-0.638106107711792,-0.31493568420410156,-0.4749532639980316
1687502524826903300,0.3579033203125,-0.3214550018310547,0.13949871063232422,-1.0277392864227295
1687502524836958000,0.3679580078125,-0.1397871971130371,0.5786924362182617,-1.4131925106048584
1687502524847012600,0.3780126953125,0.025734424591064453,0.4912900924682617,-1.277317762374878
1687502524857067300,0.3880673828125,0.18610024452209473,-0.033745765686035156,-0.8868650794029236
1687502524867121700,0.39812158203125,-0.11318182945251465,-0.757359504699707,-1.0471562147140503
1687502524877176300,0.40817626953125,-0.2335643768310547,-0.6768598556518555,-0.0472700297832489
1687502524887231000,0.41823095703125,-0.6307556629180908,-0.5354776382446289,0.5642327070236206
1687502524897285400,0.428285400390625,-1.4018293619155884,-0.17356204986572266,0.5396958589553833
1687502524907340000,0.438340087890625,-1.915148138999939,0.0196380615234375,0.34453436732292175
1687502524917394700,0.448394775390625,-2.0851564407348633,-0.16549301147460938,0.32197797298431396
1687502524927449300,0.458449462890625,-2.061415672302246,-0.36989593505859375,0.2491043508052826
1687502524937503700,0.468503662109375,-1.9231568574905396,-0.15873050689697266,-0.24149084091186523
1687502524947558400,0.478558349609375,-1.6275142431259155,0.35604095458984375,-0.4861629009246826
1687502524957613000,0.488613037109375,-0.9999222755432129,0.4187746047973633,-0.16747698187828064
1687502524967667500,0.49866748046875,-0.1858828067779541,1.3969831466674805,2.201659679412842
1687502524977722000,0.50872216796875,0.9591374397277832,0.45773983001708984,2.7982287406921387
1687502524987776800,0.51877685546875,1.9168643951416016,-0.41244983673095703,2.1048240661621094
1687502524997831400,0.52883154296875,2.2397372722625732,-0.11943244934082031,1.4391616582870483
1687502525007885800,0.5388857421875,1.882084608078003,0.5390653610229492,1.0176490545272827
1687502525017940500,0.5489404296875,1.3038973808288574,0.8530960083007812,0.7071936726570129
1687502525027995100,0.5589951171875,0.9226312637329102,0.7271928787231445,0.13787801563739777
1687502525038049800,0.5690498046875,0.6559879779815674,0.4379301071166992,-0.42176443338394165
1687502525048104200,0.579104248046875,0.3448317050933838,0.2091073989868164,-0.9562168121337891
1687502525058158800,0.589158935546875,-0.13456296920776367,0.1620779037475586,-1.4009675979614258
1687502525068213500,0.599213623046875,-0.7751879692077637,0.1207733154296875,-1.5604650974273682
1687502525078268000,0.609267822265625,-1.5004291534423828,-0.031175613403320312,-1.391287088394165
1687502525088322600,0.619322509765625,-1.9481106996536255,-0.03174114227294922,-0.9490986466407776
1687502525098377200,0.629377197265625,-2.0604162216186523,-0.1088409423828125,-0.26609915494918823
1687502525108432000,0.639431884765625,-1.898541808128357,-0.15328121185302734,0.04818439483642578
1687502525118486300,0.649486328125,-1.586312174797058,-0.16675472259521484,-0.43977296352386475
1687502525128541000,0.659541015625,-1.1071968078613281,-0.21244239807128906,-1.2021985054016113
1687502525138595600,0.669595703125,-0.7089195251464844,-0.4841175079345703,-1.7004636526107788
1687502525148650000,0.67964990234375,-0.8218849897384644,-0.9363946914672852,-2.00531005859375
1687502525158704600,0.68970458984375,-1.1875954866409302,-1.2831192016601562,-1.9910058975219727
1687502525168759300,0.69975927734375,-1.1868735551834106,-1.3785400390625,-1.7166999578475952
1687502525178814000,0.70981396484375,-0.8923285007476807,-1.8246378898620605,-1.7101211547851562
1687502525188868400,0.719868408203125,-0.41514062881469727,-1.4033260345458984,-1.701142430305481
1687502525198923000,0.729923095703125,0.5923991203308105,-0.1958150863647461,-1.7898585796356201
